Region,CO2 Emissions
Africa,"87,931"
Africa,"9,542"
Africa,"1,617"
Africa,"4,276"
Africa,"1,041"
Africa,301
Africa,"3,432"
Africa,268
Africa,176
Africa,84
Africa,"1,646"
Africa,"1,049"
Africa,"6,791"
Africa,403
Africa,"141,326"
Africa,455
Africa,609
Africa,"5,831"
Africa,"1,052"
Africa,275
Africa,"6,289"
Africa,"1,280"
Africa,147
Africa,"10,418"
Africa,null
Africa,436
Africa,"47,114"
Africa,"1,874"
Africa,906
Africa,543
Africa,"1,236"
Africa,"2,769"
Africa,"33,905"
Africa,"1,349"
Africa,"1,643"
Africa,796
Africa,"79,182"
Africa,686
Africa,48
Africa,"3,938"
Africa,565
Africa,425
Africa,517
Africa,"368,611"
Africa,null
Africa,"5,534"
Africa,"1,188"
Africa,"2,651"
Africa,"1,357"
Africa,"19,923"
Africa,"1,533"
Africa,"1,819"
Africa,"13,887"
Asia,781
Asia,"3,465"
Asia,"29,508"
Asia,"27,869"
Asia,400
Asia,"6,527"
Asia,"1,977"
Asia,"3,405,180"
Asia,"4,536"
Asia,"40,465"
Asia,"1,186,663"
Asia,"263,419"
Asia,"1,219,589"
Asia,"127,769"
Asia,"76,699"
Asia,"447,561"
Asia,"4,529"
Asia,972
Asia,"1,635"
Asia,"126,603"
Asia,499
Asia,"7,506"
Asia,"10,088"
Asia,"3,234"
Asia,"106,449"
Asia,"73,307"
Asia,"49,006"
Asia,"10,161"
Asia,"2,237"
Asia,"188,355"
Asia,null
Asia,"35,365"
Asia,"119,951"
Asia,"53,645"
Europe,"3,022"
Europe,524
Europe,"63,696"
Europe,"53,469"
Europe,"115,709"
Europe,"23,223"
Europe,"43,531"
Europe,"19,644"
Europe,"6,850"
Europe,"124,649"
Europe,"47,260"
Europe,"15,181"
Europe,711
Europe,"52,141"
Europe,"365,560"
Europe,"829,978"
Europe,"91,616"
Europe,"57,238"
Europe,"2,164"
Europe,"41,345"
Europe,null
Europe,"451,441"
Europe,null
Europe,"6,241"
Europe,null
Europe,"12,200"
Europe,"8,240"
Europe,"12,064"
Europe,"2,065"
Europe,"3,513"
Europe,null
Europe,null
Europe,"165,363"
